[2025-10-20 18:02:31] local.INFO: === INICIO IMPORTAR ARCHIVO ===  
[2025-10-20 18:02:31] local.INFO: Método: POST  
[2025-10-20 18:02:31] local.INFO: Content-Type: multipart/form-data; boundary=----WebKitFormBoundary21L0LPw3hCjK4nIE  
[2025-10-20 18:02:31] local.INFO: Archivos recibidos: {"archivo":{}}  
[2025-10-20 18:02:31] local.INFO: Todos los inputs: {"_token":"AtYWsgrcFNo7TXgOieKdvdF8HqnKUil7ZsfY9il7","import_type":"sin_fconversion","archivo":{}}  
[2025-10-20 18:02:31] local.INFO: Configuración PHP:  
[2025-10-20 18:02:31] local.INFO: - upload_max_filesize: 200M  
[2025-10-20 18:02:31] local.INFO: - post_max_size: 200M  
[2025-10-20 18:02:31] local.INFO: - max_file_uploads: 20  
[2025-10-20 18:02:31] local.INFO: - memory_limit: 1024M  
[2025-10-20 18:02:31] local.INFO: - max_execution_time: 0  
[2025-10-20 18:02:31] local.INFO: Detalles del archivo recibido:  
[2025-10-20 18:02:31] local.INFO: - Nombre original: FormatoEntradasSinFconversion.xlsx  
[2025-10-20 18:02:31] local.INFO: - Extensión: xlsx  
[2025-10-20 18:02:31] local.INFO: - Tamaño: 1692648 bytes  
[2025-10-20 18:02:31] local.INFO: - MIME type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet  
[2025-10-20 18:02:31] local.INFO: - Es válido: true  
[2025-10-20 18:02:31] local.INFO: Validación de extensión pasada: xlsx  
[2025-10-20 18:02:31] local.INFO: Validación pasada correctamente  
[2025-10-20 18:02:31] local.INFO: Ruta real del archivo: C:\xampp7\tmp\php8C4E.tmp  
[2025-10-20 18:02:31] local.INFO: Tipo de importación solicitado: sin_fconversion  
[2025-10-20 18:02:31] local.INFO: Procesando archivo: FormatoEntradasSinFconversion.xlsx - Extensión: xlsx - MIME: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet  
[2025-10-20 18:02:34] local.INFO: Iniciando importación sin Fconversion. Filas detectadas: 24652  
[2025-10-20 18:02:34] local.WARNING: Fila 3: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 4: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 5: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 6: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 7: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 8: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 9: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 10: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 11: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 12: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 13: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 14: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 15: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 16: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 17: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 18: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 19: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 20: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 21: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 22: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 23: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 24: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 25: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 26: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 27: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 28: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 29: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 30: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 31: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 32: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 33: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 34: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 35: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 36: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 37: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 38: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 39: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 40: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 41: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 42: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 43: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 44: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 45: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 46: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 47: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 48: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 49: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 50: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 51: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 52: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 53: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 54: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 55: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 56: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 57: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 58: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 59: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 60: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 61: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 62: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 63: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 64: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 65: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 66: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 67: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 68: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 69: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 70: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 71: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 72: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 73: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 74: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 75: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 76: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 77: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 78: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 79: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 80: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 81: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 82: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 83: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 84: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 85: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 86: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 87: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 88: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 89: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 90: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 91: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 92: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 93: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 94: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 95: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 96: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 97: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 98: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 99: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 100: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 101: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 102: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 103: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 104: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 105: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 106: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 107: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 108: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 109: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 110: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 111: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 112: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 113: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 114: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 115: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 116: formato de mes inválido ''  
[2025-10-20 18:02:34] local.WARNING: Fila 117: formato de mes inválido ''  
